hcc_code,raf_weight_cna,label
HCC248,0.239,Intracranial Hemorrhage
HCC283,0.204,"Empyema, Lung Abscess"
HCC398,0.199,Major Head Injury with Loss of Consciousness < 1 Hour or Unspecified
HCC397,0.199,Major Head Injury with Loss of Consciousness > 1 Hour
HCC399,0.199,Major Head Injury without Loss of Consciousness
HCC227,0.189,Cardiomyopathy/Myocarditis
HCC23,0.186,"Prostate, Breast, and Other Cancers and Tumors"
HCC48,0.186,Morbid Obesity
HCC65,0.185,Chronic Hepatitis
HCC36,0.166,Diabetes with Severe Acute Complications
HCC37,0.166,Diabetes with Chronic Complications
HCC38,0.166,"Diabetes with Glycemic, Unspecified, or No Complications"
HCC108,0.146,"Sickle Cell Disorders, Except Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero; Beta Thalassemia Major"
HCC329,0.127,"Chronic Kidney Disease, Moderate (Stage 3, Except 3B)"
HCC328,0.127,"Chronic Kidney Disease, Moderate (Stage 3B)"
